;;;;;
Historico Aportes Diario 2015;;;;;
;;;;;
Fecha;Region Hidrologica;Nombre Rio;Aportes Caudal m3/s;Aportes Energia kWh;Aportes %
2015-01-07;ANTIOQUIA;A. SAN LORENZO;17,79;4.067.200,00;73,15%
2015-01-07;ANTIOQUIA;CONCEPCION;4,70;1.284.200,00;91,73%
2015-01-07;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);5,37;1.467.000,00;66,99%
2015-01-07;ANTIOQUIA;DESV. MANSO;0,00;;
2015-01-07;ANTIOQUIA;GRANDE;12,31;3.859.400,00;52,58%
2015-01-07;ANTIOQUIA;GUADALUPE;12,71;3.472.700,00;91,39%
2015-01-07;ANTIOQUIA;GUATAPE;13,04;2.201.800,00;53,83%
2015-01-07;ANTIOQUIA;MIEL I;39,02;1.881.800,00;45,34%
2015-01-07;ANTIOQUIA;NARE;19,30;6.821.500,00;52,68%
2015-01-07;ANTIOQUIA;PORCE II;50,52;6.430.700,00;89,81%
2015-01-07;ANTIOQUIA;PORCE III;2,34;172.300,00;11,49%
2015-01-07;ANTIOQUIA;SAN CARLOS;19,05;2.504.100,00;107,47%
2015-01-07;ANTIOQUIA;TENCHE;2,60;709.200,00;97,15%
2015-01-07;CARIBE;SINU URRA;92,88;988.400,00;54,91%
2015-01-07;CENTRO;AMOYA;4,01;468.000,00;29,43%
2015-01-07;CENTRO;BOGOTA N.R.;0,00;;
2015-01-07;CENTRO;MAGDALENA BETANIA;151,88;2.273.500,00;53,37%
2015-01-07;CENTRO;PRADO;6,11;71.800,00;13,05%
2015-01-07;CENTRO;SOGAMOSO;80,91;2.533.400,00;39,58%
2015-01-07;ORIENTE;BATA;11,84;1.992.200,00;75,18%
2015-01-07;ORIENTE;CHUZA;2,09;831.300,00;74,22%
2015-01-07;ORIENTE;GUAVIO;17,58;4.110.300,00;97,40%
2015-01-07;RIOS ESTIMADOS;OTROS RIOS (ESTIMADOS);;1.853.400,00;57,20%
2015-01-07;VALLE;ALTOANCHICAYA;15,92;1.694.900,00;37,09%
2015-01-07;VALLE;CALIMA;3,32;149.300,00;29,86%
2015-01-07;VALLE;CAUCA SALVAJINA;67,37;1.597.000,00;40,74%
2015-01-07;VALLE;DIGUA;9,06;115.700,00;35,06%
2015-01-07;VALLE;FLORIDA II;7,20;144.000,00;110,77%
2015-01-08;ANTIOQUIA;A. SAN LORENZO;17,68;4.041.800,00;72,69%
2015-01-08;ANTIOQUIA;CONCEPCION;4,68;1.278.200,00;91,30%
2015-01-08;ANTIOQUIA;DESV. EEPPM (NEC,PAJ,DOL);5,34;1.458.800,00;66,61%
2015-01-08;ANTIOQUIA;DESV. MANSO;0,00;;
2015-01-08;ANTIOQUIA;GRANDE;15,66;4.908.900,00;66,88%
2015-01-08;ANTIOQUIA;GUADALUPE;13,88;3.791.000,00;99,76%
2015-01-08;ANTIOQUIA;GUATAPE;14,70;2.482.800,00;60,70%
2015-01-08;ANTIOQUIA;MIEL I;36,72;1.770.700,00;42,67%
2015-01-08;ANTIOQUIA;NARE;14,71;5.196.700,00;40,13%
